codigo_programa;nome_programa;exclusao_logica_programa;indicador;exclusao_logica_indicador;unidade_de_medida;indice_de_referencia;em_apuracao_indice_de_referencia;data_de_apuracao;previsao_para_2021;em_apuracao_2021;previsao_para_2022;em_apuracao_2022;previsao_para_2023;em_apuracao_2023;previsao_para_2024;em_apuracao_2024;fonte;periodicidade;base_geografica;formula_de_calculo;justificativa_status_em_apuracao_das_previsaoes_dos_indices;justificativa_status_em_apuracao_indice_de_referencia;data_alteracao;indicador_novo;polaridade
10;PLANO DE ATENÇÃO À SAÚDE;False;ÍNDICE DE COBERTURA EM CONSULTA MÉDICA;False;Consulta realizada;1,99;;2018-12-31;1,9;;2,0;;2,1;;2,1;;SISTEMA DE CADASTRO ÚNICO (CADU) E SISTEMA DE AUTORIZAÇÃO E FATURAMENTO ELETRÔNICO (SAFE) DO IPSEMG;Anual;Estadual;TOTAL DE CONSULTAS MÉDICAS (ELETIVAS, DE ATENÇÃO PRIMÁRIA, DE URGÊNCIA E DE PRONTO SOCORRO) REALIZADAS / TOTAL DE BENEFICIÁRIOS ATIVOS NO SISTEMA DE CADASTRO ÚNICO (CADU) DO IPSEMG;;;2020-10-01 15:57:00;False;MAIOR
10;PLANO DE ATENÇÃO À SAÚDE;False;PROPORÇÃO DE CONSULTAS MÉDICAS EM PRONTO SOCORRO;False;%;24,3;;2019-06-30;20,0;;20,0;;20,0;;20,0;;SISTEMA DE AUTORIZAÇÃO E FATURAMENTO ELETRÔNICO (SAFE) DO IPSEMG;Mensal;Estadual;TOTAL DE CONSULTAS MÉDICAS (DE URGÊNCIA E DE PRONTO SOCORRO) REALIZADAS / TOTAL DE CONSULTAS MÉDICAS (ELETIVAS, DE ATENÇÃO PRIMÁRIA, DE URGÊNCIA E DE PRONTO SOCORRO) REALIZADAS;;;2020-10-01 15:57:00;False;MENOR
11;SERVIÇOS PRESTADOS PELO IPSEMG NA REDE PRÓPRIA;False;ÍNDICE DE REAPROVEITAMENTO DE CONSULTAS - CEM;False;%;49,7;;2019-06-30;55,0;;58,0;;61,0;;64,0;;SISTEMA SIAS-AGENDA E RELATÓRIO DO CENTRO DE ESPECIALIDADES MÉDICAS;Mensal;Municipal;(NÚMERO TOTAL DE PACIENTES REALOCADOS / NÚMERO TOTAL DE VAGAS PROVENIENTES DE ABSENTEÍSMO) X 100;;;2020-10-01 15:57:00;False;MAIOR
11;SERVIÇOS PRESTADOS PELO IPSEMG NA REDE PRÓPRIA;False;MÉDIA DE PERMANÊNCIA - HGIP;False;Dias;7,36;;2019-06-30;7,3;;7,1;;6,9;;6,7;;RELATÓRIO DO SISTEMA DRG SIGCLINIC (DIAGNOSIS RELATED GROUP) E RELATÓRIOS DO SISTEMA MV;Mensal;Municipal;SOMA DOS TEMPOS DE ESTADIA DOS PACIENTE-DIA / TOTAL DE SAÍDAS;;;2020-10-01 15:57:00;False;MENOR
11;SERVIÇOS PRESTADOS PELO IPSEMG NA REDE PRÓPRIA;False;TAXA DE OCUPAÇÃO HOSPITALAR - HGIP;False;%;83,05;;2019-06-30;82,0;;84,0;;85,0;;85,0;;RELATÓRIO DO SISTEMA SOUL MV;Mensal;Municipal;(TOTAL DE PACIENTES-DIA NO PERÍODO / TOTAL DE LEITOS DIAS OPERACIONAIS NO PERÍODO) X 100;;;2020-10-01 15:57:00;False;MAIOR
11;SERVIÇOS PRESTADOS PELO IPSEMG NA REDE PRÓPRIA;False;TAXA DE REINTERNAÇÃO - HGIP;False;%;3,61;;2019-06-30;4,6;;4,5;;4,3;;4,2;;RELATÓRIO DO SISTEMA DRG SIGCLINIC – DIAGNOSIS RELATED GROUP E RELATÓRIOS DO SISTEMA MV;Mensal;Municipal;(NÚMERO DE REINTERNAÇÕES NÃO PROGRAMADAS PELA MESMA CAUSA ATÉ 30 DIAS DA ALTA HOSPITALAR / TOTAL DE SAÍDAS) X 100;;;2020-10-01 15:57:00;False;MENOR
11;SERVIÇOS PRESTADOS PELO IPSEMG NA REDE PRÓPRIA;False;TAXA DE MORTALIDADE INSTITUCIONAL - HGIP;False;%;3,53;;2019-06-30;3,7;;3,6;;3,5;;3,4;;RELATÓRIO DO SISTEMA DRG SIGCLINIC – DIAGNOSIS RELATED GROUP E RELATÓRIOS DO SISTEMA MV;Mensal;Municipal;(NÚMERO DE ÓBITOS APÓS 24 HORAS DE INTERNAÇÃO / TOTAL DE SAÍDAS) X 100;;;2020-10-01 15:57:00;False;MENOR
11;SERVIÇOS PRESTADOS PELO IPSEMG NA REDE PRÓPRIA;False;NÚMERO DE CIRURGIAS REALIZADAS - HGIP;False;Número;698,0;;2019-06-30;680,0;;700,0;;720,0;;740,0;;SISTEMA MV;Mensal;Municipal;NÚMERO DE CIRURGIAS REALIZADAS NO HGIP / NÚMERO DE MESES APURADOS;;;2020-10-01 15:57:00;False;MAIOR
15;APRIMORAMENTO DOS PROCESSOS DE ATENDIMENTO, ANÁLISE, RESPOSTA E INFRAESTRUTURA DA OGE;False;ÍNDICE DE SATISFAÇÃO DO USUÁRIO COM ATENDIMENTO TELEFÔNICO;True;Percentual;;Em Apuração;;100,0;;100,0;;100,0;;100,0;;SUPERINTENDÊNCIA DE PLANEJAMENTO, GESTÃO E FINANÇAS;Trimestral;Estadual;(NÚMERO DE USUÁRIOS SATISFEITOS COM O ATENDIMENTO/NÚMERO DE USUÁRIOS QUE RESPONDERAM A PESQUISA)*100;;QUANDO DA INCLUSÃO DO INDICADOR, A APURAÇÃO SERIA FEITA POR MEIO DO SISTEMA URA DE LIGAÇÕES TELEFÔNICAS. NO ENTANTO, COM A PANDEMIA, AS TELEDIGIFONISTAS ENTRARAM EM TELETRABALHO, O QUE IMPOSSIBILITOU A APURAÇÃO NESSE FORMATO. DESSA FORMA, A APURAÇÃO SERÁ FEITA DE FORMA MANUAL NO TERCEIRO TRIMESTRE.;2020-10-01 15:57:00;False;MAIOR
15;APRIMORAMENTO DOS PROCESSOS DE ATENDIMENTO, ANÁLISE, RESPOSTA E INFRAESTRUTURA DA OGE;False;ÍNDICE DE SATISFAÇÃO DO USUÁRIO COM O SERVIÇO DA OGE;True;Percentual;;Em Apuração;;100,0;;100,0;;100,0;;100,0;;SUPERINTENDÊNCIA DE PLANEJAMENTO, GESTÃO E FINANÇAS;Trimestral;Estadual;(NÚMERO DE USUÁRIOS SATISFEITOS COM O SERVIÇO DA OGE/NÚMERO DE USUÁRIOS QUE RESPONDERAM A PESQUISA)*100;;;2020-10-01 15:57:00;False;MAIOR
20;REGISTRO PÚBLICO DE EMPRESAS MERCANTIS E ATIVIDADES AFINS;False;PERCENTUAL DE REQUERIMENTOS PROTOCOLADOS EM RELAÇÃO AO TOTAL DE REQUERIMENTOS ATENDIDOS;True;%;90,0;;2014-12-31;95,0;;95,0;;95,0;;;;JUCEMG;Anual;Estadual;(NÚMERO TOTAL DE REQUERIMENTOS ATENDIDOS (PROCESSOS, LIVROS E CERTIDÕES) PELA INTERNET E PRESENCIAL) / NÚMERO TOTAL DE REQUERIMENTOS PROTOCOLADOS PELA INTERNET E PRESENCIAL (PROCESSOS, LIVROS E CERTIDÕES) X 100;;;2020-10-01 15:57:00;False;MAIOR
20;REGISTRO PÚBLICO DE EMPRESAS MERCANTIS E ATIVIDADES AFINS;False;PERCENTUAL DE ATENDIMENTO DE CERTIDÕES EM ATÉ 3 (TRÊS) DIAS ÚTEIS;False;%;94,0;;2020-07-01;94,0;;95,0;;96,0;;97,0;;JUCEMG;Anual;Estadual;INDICADORPERCENTUAL DE ATENDIMENTO DE CERTIDÕES EM ATÉ 3 (TRÊS) DIAS ÚTEISFÓRMULA(SOMATÓRIO DO NÚMERO DE PEDIDOS DE CERTIDÕES ATENDIDAS EM ATÉ 3 DIAS ÚTEIS / SOMATÓRIO DO NÚMERO TOTAL DE PEDIDO DE CERTIDÕES ATENDIDAS) *100;;;2020-10-01 15:57:00;False;MAIOR
20;REGISTRO PÚBLICO DE EMPRESAS MERCANTIS E ATIVIDADES AFINS;False;PERCENTUAL DE DECISÕES SINGULARES PROFERIDAS EM ATÉ 1 (HUM) DIA ÚTIL;False;%;94,0;;2020-07-01;94,0;;95,0;;96,0;;97,0;;JUCEMG;Anual;Estadual;INDICADOR:PERCENTUAL DE DECISÕES SINGULARES PROFERIDAS EM ATÉ 1 (HUM) DIA ÚTIL, COMPREENDENDO TODAS AS ETAPAS DO EXAME FORMAL E SEU RESULTADO: FORMULAÇÃO DE EXIGÊNCIA, DEFERIMENTO OU INDEFERIMENTO DE ATOS EMPRESARIAIS, REFERENTES ÀS CONSTITUIÇÕES DE EMPRESAS (EIRELI E EMPRESÁRIO INDIVIDUAL) E SOCIEDADES EXCETO SOCIEDADE ANÔNIMA  E CONSÓRCIOFÓRMULA(SOMATÓRIO DO NÚMERO DE DECISÕES SINGULARES, REFERENTES ÀS CONSTITUIÇÕES DE EMPRESAS E SOCIEDADES, EXCETO SOCIEDADE ANÔNIMA E CONSÓRCIO, ATENDIDAS EM ATÉ 1 DIAS ÚTEIS / SOMATÓRIO DO NÚMERO DE DECISÕES SINGULARES, REFERENTES ÀS CONSTITUIÇÕES DE EMPRESAS E SOCIEDADES, EXCETO SOCIEDADE ANÔNIMA E CONSÓRCIO, ATENDIDAS) *100;;;2020-10-01 15:57:00;False;MAIOR
20;REGISTRO PÚBLICO DE EMPRESAS MERCANTIS E ATIVIDADES AFINS;False;PERCENTUAL DE DECISÕES SINGULARES PROFERIDAS EM ATÉ 2 (DOIS) DIAS ÚTEIS;False;%;94,0;;2020-07-01;94,0;;95,0;;96,0;;97,0;;JUCEMG;Anual;Estadual;INDICADOR:PERCENTUAL DE DECISÕES SINGULARES PROFERIDAS EM ATÉ 2 (DOIS) DIAS ÚTEIS, COMPREENDENDO TODAS AS ETAPAS DO EXAME FORMAL E SEU RESULTADO: FORMULAÇÃO DE EXIGÊNCIA, DEFERIMENTO OU INDEFERIMENTO DE ATOS EMPRESARIAIS, EXCETO CONSTITUIÇÕES DE EMPRESAS/SOCIEDADESFÓRMULA(SOMATÓRIO DO NÚMERO DE DECISÕES SINGULARES, EXCETO CONSTITUIÇÕES, ATENDIDAS EM ATÉ 2 DIAS ÚTEIS / SOMATÓRIO DO NÚMERO DE DECISÕES SINGULARES, EXCETO CONSTITUIÇÕES, ATENDIDAS) *100;;;2020-10-01 15:57:00;False;MAIOR
20;REGISTRO PÚBLICO DE EMPRESAS MERCANTIS E ATIVIDADES AFINS;False;PERCENTUAL DE LIBERAÇÃO DE LIVROS/AUTENTICAÇÃO DE LIVROS EM ATÉ 3 (TRÊS) DIAS ÚTEIS;False;%;94,0;;2020-07-01;94,0;;95,0;;96,0;;97,0;;JUCEMG;Anual;Estadual;INDICADOR:PERCENTUAL DE LIBERAÇÃO DE LIVROS/AUTENTICAÇÃO DE LIVROS EM ATÉ 3 (TRÊS) DIAS ÚTEISFÓRMULA(SOMATÓRIO DO NÚMERO DE LIBERAÇÃO DE LIVROS/AUTENTICAÇÃO DE LIVROS EM ATÉ 3 DIAS ÚTEIS / SOMATÓRIO DO NÚMERO DE LIBERAÇÃO DE LIVROS/AUTENTICAÇÃO DE LIVROS) *100;;;2020-10-01 15:57:00;False;MAIOR
20;REGISTRO PÚBLICO DE EMPRESAS MERCANTIS E ATIVIDADES AFINS;False;PERCENTUAL DE DECISÕES COLEGIADAS PROFERIDAS EM ATÉ 5 (CINCO) DIAS ÚTEIS;False;%;94,0;;2020-07-01;94,0;;95,0;;96,0;;97,0;;JUCEMG;Anual;Estadual;INDICADOR:PERCENTUAL DE DECISÕES COLEGIADAS PROFERIDAS EM ATÉ 5 (CINCO) DIAS ÚTEIS, COMPREENDENDO TODAS AS ETAPAS DO EXAME FORMAL E SEU RESULTADO: FORMULAÇÃO DE EXIGÊNCIA, DEFERIMENTO OU INDEFERIMENTO DE ATOS EMPRESARIAIS (CONSTITUIÇÃO DE S/A, TODOS OS ATOS DE CONSÓRCIOS E OPERAÇÕES COMPLEXAS: – TRANSFORMAÇÃO, CISÃO, INCORPORAÇÃO E FUSÃO)FÓRMULA DE CÁLCULO:(SOMATÓRIO DO NÚMERO DE DECISÕES COLEGIADAS ATENDIDAS EM ATÉ 5 DIAS ÚTEIS / SOMATÓRIO DO NÚMERO DE DECISÕES COLEGIADAS ATENDIDAS) *100;;;2020-10-01 15:57:00;True;MAIOR
21;DESENVOLVIMENTO DO ENSINO SUPERIOR NA UEMG;False;POPULAÇÃO BENEFICIADA PELAS AÇÕES DESENVOLVIDAS PELA UEMG;False;UNIDADE;1659063,0;;2019-12-31;1675654,0;;1692410,0;;1709334,0;;1726428,0;;SISTEMA INTERGRADO DE GESTÃO ACADÊMICA - SIGA - MÓDULO EXTENSÃO;Anual;Estadual;SOMATÓRIO DAS PESSOAS BENEFICIADAS PELAS AÇÕES DESENVOLVIDAS PELA UEMG;;;2020-10-01 15:57:00;False;MAIOR
21;DESENVOLVIMENTO DO ENSINO SUPERIOR NA UEMG;False;PERCENTUAL DE CURSOS DE GRADUAÇÃO EM FUNCIONAMENTO NA UEMG COM QUALIDADE AFERIDA POR AVALIAÇÃO DO CEE/MG E/OU DO ENADE.;False;Percentual %;45,0;;2019-12-31;50,0;;55,0;;60,0;;65,0;;PRÓ-REITORIA DE ENSINO;Anual;Estadual;(CGQ/TCG*100) SENDO QUE 2019/2020/2021/2022CGQ: TOTAL DE CURSOS DA GRADUAÇÃO QUE TENHAM OBTIDO NOTA ACIMA DE 80% NA AVALIAÇÃO DO CEE/MG E/OU NOTA MÍNIMA DE 4(QUATRO) NO ENADE.TCG: TOTAL DE CURSOS DA GRADUAÇÃO AVALIADOS.SERÁ CONSIDERADA PARA EFEITO DE CÁLCULO A NOTA DA ÚLTIMA AVALIAÇÃO DO CURSO.;;;2020-10-01 15:57:00;False;MAIOR
24;APOIO AO DESENVOLVIMENTO MUNICIPAL, À CAPTAÇÃO E À COORDENAÇÃO DA TRANSFERÊNCIA DE RECURSOS;False;PERCENTUAL DE INSTRUMENTOS CELEBRADOS QUE NÃO APRESENTEM IMPEDIMENTOS DE ORDEM TÉCNICA  PARA PAGAMENTO PAGOS;False;Percentual;;Em Apuração;;100,0;;100,0;;100,0;;100,0;;SIGCON E SIAFI;Anual;Estadual;(NÚMERO DE INSTRUMENTOS CELEBRADOS QUE TIVERAM COMO ORIGEM EMENDA PARLAMENTAR INDIVIDUAL IMPOSITIVA PAGOS)/ NÚMERO DE INSTRUMENTOS CELEBRADOS QUE TIVERAM COMO ORIGEM EMENDA PARLAMENTAR INDIVIDUAL IMPOSITIVA)X100;;POR SE TRATAR DE APLICAÇÃO DE RECURSOS ORIGINADOS DE  EMENDAS PARLAMENTARES, A SUA QUANTIDADE  SÓ  É INFORMADA APÓS A APROVAÇÃO DA LEI ORÇAMENTÁRIA DO EXERCÍCIO.,;2020-10-01 15:57:00;False;MAIOR
25;PROGRAMA ESTADUAL DE ASSISTÊNCIA AO PECÚLIO DOS SERVIDORES DO ESTADO DE MINAS GERAIS;False;PERCENTUAL DE SEGUROS E PECÚLIOS CONCEDIDOS NO PRAZO;False;%;100,0;;2019-06-30;92,0;;92,0;;92,0;;92,0;;SISTEMA DE CONCESSÃO E PAGAMENTO DE SEGUROS (SEGU);Mensal;Estadual;(SOMA DOS PROCESSOS CONCEDIDOS NO PRAZO / SOMA DE PROCESSOS CONCEDIDOS) * 100;;;2020-10-01 15:57:00;False;MAIOR
27;PRODUÇÃO E MODERNIZAÇÃO DO DIÁRIO OFICIAL ELETRÔNICO MINAS GERAIS;False;ÍNDICE DE EFICIÊNCIA NA CELEBRAÇÃO DE CONTRATOS (IEC) DE PUBLICAÇÃO NO DIÁRIO OFICIAL;False;Percentual;5,5;;2021-12-31;60,0;;70,0;;80,0;;80,0;;DIRETORIA DE GESTÃO E RELACIONAMENTO/SIOMG;Trimestral;Estadual;IEC = (NÚMERO DE CONTRATOS CELEBRADOS EM ATÉ 5 DIAS ÚTEIS / TOTAL DE CONTRATOS CELEBRADOS NO TRIMESTRE) * 100;;;2020-10-01 15:57:00;False;MAIOR
27;PRODUÇÃO E MODERNIZAÇÃO DO DIÁRIO OFICIAL ELETRÔNICO MINAS GERAIS;False;PERCENTUAL DO ACERVO DO DIÁRIO DO EXECUTIVO (PDI) DISPONIBILIZADO NA INTERNET;False;Percentual;11,0;;2021-12-31;46,0;;70,0;;100,0;;100,0;;DIRETORIA DE GESTÃO E RELACIONAMENTO/SIOMG;Anual;Estadual;PERCENTUAL DE DIÁRIOS NA INTERNET (PDI) = (QUANTIDADE DE DIÁRIOS DO EXECUTIVO DISPONIBILIZADO NA INTERNET (EM ANOS) / QUANTIDADE TOTAL DE DIÁRIOS DO EXECUTIVO A DISPONIBILIZAR (EM ANOS)) * 100;;;2020-10-01 15:57:00;False;MAIOR
27;PRODUÇÃO E MODERNIZAÇÃO DO DIÁRIO OFICIAL ELETRÔNICO MINAS GERAIS;False;ELEVAÇÃO DO GRAU DE SATISFAÇÃO (EGS) DE CLIENTES COM O SERVIÇO DE PUBLICAÇÃO NO DIÁRIO OFICIAL ELETRÔNICO MINAS GERAIS;False;Percentual;;Em Apuração;;5,0;;10,0;;15,0;;15,0;;DIRETORIA DE GESTÃO E RELACIONAMENTO/SIOMG;Anual;Estadual;SE ÍNDICE DO ANO QUE SE APURA > ÍNDICE ANO ANTERIOR: EGS = (ÍNDICE DE SATISFAÇÃO APURADO NO ANO / ÍNDICE DE SATISFAÇÃO APURADO NO ANO ANTERIOR) - 1.SE ÍNDICE DO ANO QUE SE APURA < ÍNDICE ANO ANTERIOR: EGS = (ÍNDICE DE SATISFAÇÃO APURADO NO ANO - ÍNDICE DE SATISFAÇÃO APURADO NO ANO ANTERIOR)/ÍNDICE DE SATISFAÇÃO APURADO NO ANO ANTERIOR;;AGUARDANDO ELABORAÇÃO DA PESQUISA  PARA APURAÇÃO DO ÍNDICE REFERENCIAL.;2020-10-01 15:57:00;False;MAIOR
27;PRODUÇÃO E MODERNIZAÇÃO DO DIÁRIO OFICIAL ELETRÔNICO MINAS GERAIS;False;NÚMERO DE SISTEMA DE INFORMAÇÃO DO GOVERNO DO ESTADO DE MINAS GERAIS INTEGRADOS À BASE DE DADOS DO SISTEMA DE PUBLICAÇÃO DE MATÉRIAS NO DIÁRIO OFICIAL;False;UNIDADE;0,0;;2021-12-31;1,0;;1,0;;1,0;;1,0;;SUPERINTENDÊNCIA DE IMPRENSA OFICIAL;Anual;Estadual;O RESULTADO SERÁ APURADO POR MEIO DA VERIFICAÇÃO DO NÚMERO DE SISTEMAS INTEGRADOS AO SISTEMA DE PUBLICAÇÃO DE MATÉRIAS NO DIÁRIO OFICIAL MINAS GERAIS.;;;2020-10-01 15:57:00;False;MAIOR
28;COORDENAÇÃO DA ARTICULAÇÃO INSTITUCIONAL DO GOVERNO DO ESTADO DE MINAS GERAIS;False;PERCENTUAL DE PROJETOS DE LEI DE INICIATIVA DO PODER EXECUTIVO APROVADOS NA ASSEMBLEIA LEGISLATIVA DE MINAS GERAIS (ALAMG);False;Percentual;70,0;;2021-12-31;90,0;;90,0;;90,0;;90,0;;SISTEMA DE ACOMPANHAMENTO DE PROJETOS E PROPOSIÇÕES DE LEI - SIAPLE;Semestral;Estadual;(NUMERO DE PROJETOS DE LEI DE INICIATIVA DO EXECUTIVO APROVADOS / NÚMERO DE PROJETOS DE LEI DE INICIATIVA DO EXECUTIVO VOTADOS)X100.;;;2020-10-01 15:57:00;False;MAIOR
29;PROMOÇÃO DE CONCESSÕES E PARCERIAS;False;CONTRATOS DE PPP EM OPERAÇÃO MAIS NOVOS CONTRATOS DE CONCESSÃO;False;UNIDADE;6,0;;2019-09-16;7,0;;8,0;;9,0;;9,0;;COORDENADORIA ESPECIAL DE CONCESSÕES E PARCERIAS - CECP;Anual;Estadual;UNIDADE DE PPP EM OPERAÇÃO + NOVOS CONTRATOS DE CONCESSÃO = RESULTADO;;;2020-10-01 15:57:00;False;MAIOR
